id,mass,x,y,z,vx,vy,vz
189,4.98309e+18,-0.89835,-2.13694,0.116687,0.0100142,-0.00590178,-0.00166807
190,3.46439e+19,-2.91024,0.526159,-0.513761,-0.00263663,-0.00885231,-0.00121802
191,1.63792e+19,1.85125,-1.95629,0.0425997,0.00688265,0.00822634,-0.000571696
192,8.68312e+17,-2.39455,0.638899,0.155101,-0.00123089,-0.0109174,0.000718434
193,3.85983e+18,-0.03251,2.05373,-0.311862,-0.0124115,0.00247151,0.000719716
194,5.78053e+18,-1.94529,-2.01613,0.0215938,0.00715439,-0.00616424,0.000246479
195,6.95757e+18,-0.509596,-2.6336,0.0274456,0.009458,-0.00241496,7.77778e-05
196,2.44603e+18,1.53973,-1.27611,-0.0933192,0.00805691,0.0101829,-0.000338214
197,6.67256e+18,0.43241,-3.05378,-0.408901,0.00887514,0.00210679,-0.00176741
198,3.46337e+18,2.05188,-2.40498,-0.511583,0.00620288,0.00558947,-0.000616562
199,5.60884e+18,2.81716,1.64343,-0.00470839,-0.00547365,0.00761803,0.000121327
200,6.33947e+17,-2.31419,1.57591,-1.01525,-0.00438598,-0.00749339,0.00149166
201,1.20891e+18,-2.51547,0.604896,0.135839,-0.00157279,-0.010801,-0.000401104
202,2.46447e+18,-2.25161,0.228541,0.0612366,-0.00292365,-0.0113768,0.000106479
203,2.50753e+18,-2.24333,0.933776,0.095596,-0.00498852,-0.0105525,0.00190915
204,1.89733e+19,-0.947596,-2.52596,-0.278845,0.00946991,-0.00324892,-0.000276926
205,1.13352e+18,-2.14979,1.26978,-0.0345319,-0.00645599,-0.00856313,-0.000376624
206,1.37658e+19,0.994646,2.25478,0.688609,-0.0108109,0.00280514,0.00391206
207,1.46723e+18,-0.622761,2.54675,-0.223824,-0.0101142,-0.00336754,-0.000381868
208,4.13039e+17,1.54274,1.4959,0.0393852,-0.00665223,0.0113687,0.000391304
209,1.69963e+18,0.465553,2.57093,-0.240282,-0.010822,0.000971379,-0.000169749
210,7.90833e+17,2.88293,2.23559,0.348347,-0.00511792,0.00607221,0.000748261
211,1.69389e+18,-2.40189,1.27314,0.386178,-0.00761153,-0.00684129,-0.00235716
212,1.80491e+18,-1.00198,-2.9058,-0.149815,0.00842817,-0.00276779,-0.000201055
213,1.6106e+19,0.732277,2.48697,-0.466615,-0.0100981,0.00425951,1.12482e-05
214,3.8355e+18,0.275349,-2.20265,-0.00980284,0.0112701,0.00201646,-0.000846863
215,6.2702e+18,-0.0391809,3.06024,-0.856448,-0.00871177,-0.00210819,0.000689419
216,1.94045e+18,-2.71101,1.17386,0.418275,-0.00279933,-0.0084501,0.00028354
