mass,name,position:0,position:1,position:2,velocity:0,velocity:1,velocity:2
4.33252e+13,,-2.35202e-01,-3.44251e+00,-5.90656e-01,8.14408e-03,-5.42518e-04,-3.00345e-03
8.03103e+13,,-2.54794e+00,-2.65203e+00,4.56109e-02,6.01434e-03,-5.64713e-03,-1.92725e-03
8.44898e+13,,-2.89460e+00,-2.28836e+00,2.43804e-01,5.04686e-03,-5.27210e-03,-3.90679e-03
6.78838e+13,,-1.35616e+00,-3.02357e+00,-2.73124e-01,8.29886e-03,-3.48119e-03,1.92960e-03
1.34378e+14,,-1.25726e+00,-3.22502e+00,-2.47432e-01,8.12083e-03,-3.17443e-03,-1.35918e-03
5.57821e+13,,-1.24291e+00,-2.97542e+00,-1.41456e-01,8.73088e-03,-3.31121e-03,-1.68965e-03
7.76765e+13,,1.98921e+00,-2.03920e+00,7.90867e-01,6.01383e-03,6.63789e-03,5.01958e-03
3.54902e+11,,5.64947e-01,-3.77444e-01,3.52053e-01,1.57683e-02,1.26596e-02,2.67918e-03
5.52337e+13,,-1.38280e+00,-2.57376e+00,-4.41617e-01,8.94097e-03,-4.43511e-03,-2.67238e-03
4.16675e+12,,-1.80246e+00,-4.11958e+00,9.27412e-01,4.99744e-03,-3.67460e-04,4.10212e-04
1.21090e+15,,3.87715e+00,-1.73370e+00,-1.74883e+00,4.33706e-03,7.21337e-03,2.27464e-04
8.93488e+13,,-3.38010e+00,6.49965e-01,-9.95292e-01,-1.49891e-03,-8.49171e-03,8.45585e-04
8.87583e+13,,-1.67718e+00,-2.55134e+00,9.97327e-01,7.42912e-03,-5.68381e-03,-2.08817e-03
4.34914e+13,,-4.49451e-01,-3.16319e+00,5.52144e-01,9.31776e-03,-1.56640e-03,-8.63345e-04
4.91470e+13,,-8.98391e-01,-3.30889e+00,9.92138e-01,7.25152e-03,-3.49973e-03,-2.67170e-03
